asdfasdf





1123412342






!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=023262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=123262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=03262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=011262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=011262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=011262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=011262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=011262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=011262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=023262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=023262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=023262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=023262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=023262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=023262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=111262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=023262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=023262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=023262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=023262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=021262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=020262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=020262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=020262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=020262
!4147.19N/09200.83WO 12.1V 05C HDOP00.8 SATS11-HABET Flight L-99/A=020262
/132639h/97g56ky9O!!G/A=000950 12.3V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
/132646h/97g56ky9O!!G/A=000949 12.3V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
/132652h/97g56ky9O!!G/A=000949 12.3V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
/132659h/97g56ky9O!!G/A=000949 12.3V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
/132705h/97g56ky9O!!G/A=000949 12.3V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
/132712h/97g56ky;O!!G/A=000949 12.3V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
/132718h/97g56ky9O!!G/A=000949 12.2V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
/132725h/97g96ky;O!!G/A=000949 12.2V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
/132731h/97g56ky9O!!G/A=000950 12.2V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
/132738h/97g96ky;O!!G/A=000950 12.2V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
/132744h/97g56ky9O!!G/A=000950 12.2V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
/132751h/97g96ky;O!!G/A=000950 12.1V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
/132757h/97g56ky9O!!G/A=000950 12.1V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
/132804h/97g96ky;O!!G/A=000950 12.1V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
/132810h/97g56ky9O!!G/A=000950 12.1V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
/132817h/97g96ky9O!!G/A=000950 12.1V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
/132823h/97g56ky9O!!G/A=000950 12.0V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
/132830h/97g56ky9O!!G/A=000950 12.0V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
/132836h/97g56ky9O!!G/A=000950 12.0V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
/132842h/97g56ky9O!!G/A=000950 11.9V 227C HDOP01.5 SATS06HABET LX-100-C www.sscl.iastate.edu
